cell_line_name,alpha,beta,SF2,R2,AUC
JHUEM-2,0.362220546863622,0.0,0.190932299,0.445271,1.84805957157799
YH-13,0.118221243324778,0.0238329756102556,0.783606638,0.990808,2.92118870115707
IPC-298,0.174645537989457,0.0093623882101742,0.58067803,0.9572482,3.090553762666
IMR-32,0.809821786438173,0.0,0.0824,0.9199636,0.549050766361251
TT2609-C02,0.362302674369617,0.0023542757480212,0.601016652,0.9697146,1.78174526821729
SNU-840,0.274864795654812,0.0,0.513344715,0.7824149,2.53091878518739
OVMANA,0.163821883987466,0.0,0.705803231,0.9334614,3.9956038489034
SNG-M,0.417975961461019,0.0,0.186340022,0.5754282,1.53854749657567
HSC-3,0.348326150910979,0.0159899914508401,0.37895822,0.9661679,1.55393611925408
NCI-H446,0.5293125,0.0,0.217731183,0.9138153,1.10328727430313
HMC-1-8,0.642721270356883,0.0,0.0791,0.9098411,0.815660757017447
MDA-MB-361,0.0986033662555261,0.0,0.844191997,0.945265,5.40598796387812
RH-41,0.621465128244484,0.0,0.145884056,0.9333168,0.861121435690502
JL-1,0.0784262824565369,0.0,0.901465383,0.9450692,5.96884276306601
G-402,0.474222089617124,0.0,0.129346833,0.6159256,1.29401343560776
KYSE-520,0.186150848524587,0.0102171101226662,0.726547678,0.9903544,2.90895699413105
FTC-238,0.0,0.0388270114456943,1.038495106,0.9596622,3.4818724170427
HEC-151,0.486799254729622,0.0,0.346244655,0.8425066,1.24671844934695
YD-8,0.0,0.0221524832335426,0.94428182,0.9973854,4.75147516412009
JHOC-5,0.391302806016951,0.0,0.450450336,0.8834662,1.67695057630829
SK-OV-3,0.108128965920245,0.0176834044910165,0.693449485,0.9903747,3.39163087928794
SNU-1105,0.0622507829038191,0.0086445718029859,0.918922579,0.9613874,5.00006991297614
MDA-MB-453,0.0564234982070131,0.0056474529179669,1.052045003,0.9313824,5.53556391483959
IST-MES1,0.201895207107275,0.0,0.451530942,0.7970365,3.38980809169703
NUGC-4,0.277606517754444,0.0,0.558499758,0.9386387,2.50466656849471
GCT,0.397718749999998,0.0051875,0.530216814,0.9578702,1.52918114688096
OVCAR-5,0.295808080846951,0.0045100646848875,0.607771055,0.914924,2.16042611322963
Caki-2,0.0818212901669002,0.0057924716993291,0.858132894,0.9698975,4.93316298449869
QGP-1,0.248871556053681,0.0,0.548140539,0.983095,2.7992897033377
NCI-H2052,0.287453706757995,0.0,0.607369763,0.6615036,2.4133591430866
HEC-59,0.286216200124672,0.0,0.630661543,0.9589727,2.42458369319365
NCI-H1355,0.12442657116529,0.0169853732163009,0.797717553,0.9947048,3.22728414257063
MEL-HO,0.267495403987645,0.0,0.519269658,0.9366613,2.6033488504838
UM-UC-3,0.192034779034362,0.0294795466481138,0.783968346,0.9853062,2.11700846240481
NCI-H508,0.113218947719469,0.0,0.469445359,0.1907735,5.01836064417793
JHH-5,0.338228694725377,0.0,0.515147509,0.9646722,2.00770228595861
Li-7,0.216246166350439,0.0229580457306151,0.64807485,0.9787213,2.1366537678294
Panc 02.03,0.194492595812222,0.0,0.679141946,0.9680154,3.49758539719729
Panc 05.04,0.0521987830519758,0.0,0.731694395,-0.4419757,6.8162558318
5637,0.359452100274806,0.003091032075682,0.556526425,0.9945861,1.77895572779903
UM-UC-1,0.174786907529158,0.0195629425148835,0.777818698,0.9758711,2.57729551031162
COLO-678,0.172190701817916,0.0,0.709745553,0.9328734,3.85092588395458
TE-15,0.292225780147673,0.0,0.5983176,0.9668295,2.37072819529908
SNU-668,0.284024964201909,0.0039382342960393,0.646517263,0.9882219,2.27480983927526
T84,0.385046428987231,0.0,0.268482442,0.8964044,1.71186936409804
DLD-1,0.407083549208569,0.014274738016682,0.514377604,0.9447068,1.33619192305
NCI-H1703,0.252166047131984,0.0200780249548815,0.50975322,0.9900297,1.98136607610538
OVK18,0.479699644503795,0.0,0.269703051,0.7622568,1.2731190840034
LOU-NH91,0.23756593383185,0.0137674456617365,0.695546342,0.982072,2.27599483054685
KYSE-180,0.0275327984340726,0.0440594798390094,0.905305494,0.9560425,2.94541375195095
VCaP,0.10309296805876,0.0,0.802535115,0.9668007,5.29005912133159
SK-MEL-3,0.0737506985751631,0.0126549493091017,0.828358958,0.980549,4.329454159661
HCC202,0.0948939046569472,0.0,0.801573629,0.9766851,5.50422986912548
MFE-296,0.459237396127622,0.0,0.417915721,0.9895502,1.35362770812396
CCF-STTG1,0.0986073236443194,0.0,0.719373298,0.9322636,5.40588435590309
